Region Code,Timestamp (Hour Ending),TEN Demand (MWh),,,,spring,,summer,,autumn,,winter,,,
US48,"12/31/2018, Eastern Time",353144,,,,415560,398936.1957,424862,483231.9022,447639,427141.1538,352918,436841.4,,436537.6629
US48,"1/1/2019, Eastern Time",350495,,,,404656,0.000445966,439045,0.000531343,468610,0.000469668,472833,0.000480334,,
US48,"1/2/2019, Eastern Time",418798,,,,434934,,454547,,504876,,480271,,,
US48,"1/3/2019, Eastern Time",431064,,,,547631,,444551,,524793,,452852,,,
US48,"1/4/2019, Eastern Time",422832,,,,551143,,472787,,504349,,433126,,,
US48,"1/5/2019, Eastern Time",408946,,,,536498,,438221,,478963,,411068,,,
US48,"1/6/2019, Eastern Time",398014,,,,492670,,430325,,477063,,388641,,,
US48,"1/7/2019, Eastern Time",397199,,,,435037,,410669,,450512,,388578,,,
US48,"1/8/2019, Eastern Time",381469,,,,370592,,416390,,501687,,384510,,,
US48,"1/9/2019, Eastern Time",451078,,,,325156,,457526,,516736,,446886,,,
US48,"1/10/2019, Eastern Time",517082,,,,386265,,402682,,525509,,506800,,,
US48,"1/11/2019, Eastern Time",515178,,,,398602,,403168,,533464,,494847,,,
US48,"1/12/2019, Eastern Time",445168,,,,373952,,401353,,536323,,440403,,,
US48,"1/13/2019, Eastern Time",430320,,,,361400,,394631,,481790,,407853,,,
US48,"1/14/2019, Eastern Time",497170,,,,364235,,420313,,478087,,399799,,,
US48,"1/15/2019, Eastern Time",511761,,,,386735,,463086,,515302,,399975,,,
US48,"1/16/2019, Eastern Time",501909,,,,383939,,488676,,522457,,469243,,,
US48,"1/17/2019, Eastern Time",477410,,,,414477,,463180,,514410,,530762,,,
US48,"1/18/2019, Eastern Time",426230,,,,428085,,490363,,488008,,527821,,,
US48,"1/19/2019, Eastern Time",404858,,,,410039,,466495,,466950,,493054,,,
US48,"1/20/2019, Eastern Time",526385,,,,391899,,490247,,437660,,428147,,,
US48,"1/21/2019, Eastern Time",590210,,,,397686,,443186,,432405,,407732,,,
US48,"1/22/2019, Eastern Time",525814,,,,365157,,454854,,451432,,379392,,,
US48,"1/23/2019, Eastern Time",443370,,,,352429,,473123,,447122,,354664,,,
US48,"1/24/2019, Eastern Time",506315,,,,370667,,485695,,445662,,333062,,,
US48,"1/25/2019, Eastern Time",522494,,,,388250,,506153,,463525,,352230,,,
US48,"1/26/2019, Eastern Time",487594,,,,395335,,481631,,481815,,358148,,,
US48,"1/27/2019, Eastern Time",449509,,,,374307,,480907,,471404,,339253,,,
US48,"1/28/2019, Eastern Time",469419,,,,356621,,489204,,480845,,327099,,,
US48,"1/29/2019, Eastern Time",536984,,,,332506,,485778,,518135,,368650,,,
