iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.2018751e+07 2.50e+07 1.03e+01  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.0116375e+07 2.20e+07 6.38e+01  -1.0 1.72e+04  -2.0 3.82e-01 2.88e-01f  1
   2  1.0072270e+07 2.19e+07 6.14e+01  -1.0 1.04e+04  -0.7 4.21e-01 7.38e-03f  1
   3  9.7665253e+06 2.08e+07 1.63e+04  -1.0 1.36e+04  -1.1 4.48e-01 5.10e-02f  1
   4  9.6584229e+06 2.04e+07 1.56e+04  -1.0 8.90e+03   0.2 4.69e-01 1.84e-02f  1
   5  9.0994735e+06 1.86e+07 1.57e+06  -1.0 8.34e+03  -0.3 5.07e-01 9.53e-02f  1
   6  8.2989850e+06 1.60e+07 1.32e+06  -1.0 5.70e+03  -0.8 6.17e-01 1.47e-01f  1
   7  7.3896041e+06 1.33e+07 1.04e+06  -1.0 8.10e+03  -1.3 6.71e-01 1.79e-01f  1
   8  7.2022283e+06 1.28e+07 9.98e+05  -1.0 4.21e+03  -0.8 6.72e-01 4.17e-02f  1
   9  6.2364076e+06 1.03e+07 6.60e+05  -1.0 7.99e+03  -1.3 6.89e-01 2.12e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  5.9915226e+06 9.62e+06 6.17e+05  -1.0 4.43e+03  -0.9 9.35e-01 6.46e-02f  1
  11  5.5945892e+06 8.69e+06 5.49e+05  -1.0 1.53e+04  -1.4 8.25e-01 1.01e-01f  1
  12  5.2389665e+06 7.82e+06 4.91e+05  -1.0 4.36e+03  -0.9 1.00e+00 1.04e-01f  1
  13  5.0970681e+06 7.50e+06 4.77e+05  -1.0 5.67e+03  -1.4 6.80e-01 4.24e-02f  1
  14  4.6131519e+06 6.43e+06 3.95e+05  -1.0 4.41e+03  -1.0 1.00e+00 1.56e-01f  1
  15  4.1719343e+06 5.56e+06 2.67e+05  -1.0 8.40e+03  -1.5 4.47e-01 1.44e-01f  1
  16  3.9657790e+06 5.16e+06 2.65e+05  -1.0 8.39e+03  -1.0 5.21e-01 7.48e-02f  1
  17  3.8481094e+06 4.94e+06 2.52e+05  -1.0 1.51e+04  -0.6 4.32e-01 4.26e-02f  1
  18  3.5195184e+06 4.61e+06 2.86e+05  -1.0 1.11e+04  -1.1 5.92e-01 1.07e-01f  1
  19  3.4815342e+06 4.55e+06 3.65e+05  -1.0 7.55e+03  -0.7 8.37e-01 1.39e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  3.3642364e+06 4.39e+06 5.76e+05  -1.0 6.77e+03  -1.1 8.62e-01 4.15e-02f  1
  21  3.2567230e+06 4.25e+06 6.72e+05  -1.0 8.74e+03  -0.7 3.30e-01 4.06e-02f  1
  22  3.2236870e+06 4.20e+06 1.85e+06  -1.0 1.01e+04  -1.2 8.92e-01 1.09e-02f  1
